artist;city;region;country
Bjarte Engeset;Ørsta;Møre og Romsdal;Norway
Einar Steen-Nøkleberg;Østre Toten;Innlandet;Norway
Leæther Strip;Aalborg;Region Nordjylland;Denmark
Willie Nelson;Abbott;Texas;United States
Annie Lennox;Aberdeen;Scotland;United Kingdom
Radiohead;Abingdon-on-Thames;England;United Kingdom
Death;Altamonte Springs;Florida;United States
Miles Davis;Alton;Illinois;United States
Alfred Schnittke;Frankfurt;Hesse;Germany
Idil Biret;Ankara;Ankara;Turkey
Eugene Migliaro Corporon;Austin;Texas;United States
Bill Frisell;Baltimore;Maryland;United States
Philip Glass;Baltimore;Maryland;United States
James Gilchrist;Banbury;England;United Kingdom
Fernando Sor;Barcelona;Catalonia;Spain
Jordi Masó;Barcelona;Catalonia;Spain
Konstantin Scherbakov;Barnaul;Altai Krai;Russia
Kevin Mallon;Belfast;Northern Ireland;United Kingdom
Ulster Orchestra;Belfast;Northern Ireland;United Kingdom
Gaetano Donizetti;Bergamo;Lombardy;Italy
Bergen Philharmonic Orchestra;Bergen;Vestland;Norway
Edvard Grieg;Bergen;Vestland;Norway
Harald Sæverud;Bergen;Vestland;Norway
Berlin Radio Symphony Orchestra;Berlin;Berlin;Germany
Helmut Muller-Bruhl;Berlin;Berlin;Germany
Jan Kobow;Berlin;Berlin;Germany
Phantasm;Berlin;Berlin;Germany
Matthias Bamert;Bern;Bern;Switzerland
Audiomachine;Beverly Hills;California;United States
Emmylou Harris;Birmingham;Alabama;United States
Pacifica Quartet;Bloomington;Indiana;United States
Cumbia Latin Band;Bogotà;Distrito Capital;Colombia
Ottorino Respighi;Bologna;Emilia-Romagna;Italy
Ludwig van Beethoven;Bonn;North Rhine-Westphalia;Germany
Arthur Fiedler;Boston;Massachusetts;United States
The Cars;Boston;Massachusetts;United States
Bournemouth Sinfonietta;Bournemouth;England;United Kingdom
Bournemouth Symphony Orchestra;Bournemouth;England;United Kingdom
James Ehnes;Brandon;Manitoba;Canada
Heitor Villa-Lobos;Brasilia;Federal District;Brazil
Capella Istropolitana;Bratislava;Bratislava;Slovakia
Ondrej Lenard;Bratislava;Bratislava;Slovakia
Peter Breiner;Bratislava;Bratislava;Slovakia
Slovak Philharmonic;Bratislava;Bratislava;Slovakia
Slovak Philharmonic Chorus;Bratislava;Bratislava;Slovakia
Slovak Radio Symphony Orchestra;Bratislava;Bratislava;Slovakia
Slovak State Philharmonic Orchestra;Bratislava;Bratislava;Slovakia
Erich Wolfgang Korngold;Brno;South Moravian;Czech Republic
Balazs Szokolay;Budapest;Budapest;Hungary
Budapest Failoni Chamber Orchestra;Budapest;Budapest;Hungary
Kodály Quartet;Budapest;Budapest;Hungary
Nicolaus Esterhazy Sinfonia;Budapest;Budapest;Hungary
Aníbal Troilo Y Su Orquesta Típica;Buenos Aires;Buenos Aires;Argentina
Juan D'Arienzo y su Orquesta Típica;Buenos Aires;Buenos Aires;Argentina
Ani DiFranco;Buffalo;New York;United States
Curtis Macdonald;Calgary;Alberta;Canada
Cambridge;Cambridge;England;United Kingdom
David Goode;Cambridge;England;United Kingdom
John Butt;Cambridge;England;United Kingdom
Simon Standage;Cambridge;England;United Kingdom
The Cambridge Singers;Cambridge;England;United Kingdom
The Monteverdi Choir;Cambridge;England;United Kingdom
BBC National Orchestra Of Wales;Cardiff;Wales;United Kingdom
Superchunk;Chapel Hill;North Carolina;United States
Gustav Holst;Cheltenham;England;United Kingdom
Anthony Braxton;Chicago;Illinois;United States
Benny Goodman;Chicago;Illinois;United States
Chicago Symphony Orchestra;Chicago;Illinois;United States
Rachel Barton Pine;Chicago;Illinois;United States
The Mountain Goats;Claremont;California;United States
Glenn Miller;Clarinda;Iowa;United States
Henry Mancini;Cleveland;Ohio;United States
Midnight Syndicate;Cleveland;Ohio;United States
Ralph Stanley;McClure;Virginia;United States
Michael Halasz;Bucharest;București;Romania
Cologne Chamber Orchestra;Cologne;North Rhine-Westphalia;Germany
Danish National Radio Symphony Orchestra;Copenhagen;Region Hovedstaden;Denmark
Lars Ulrik Mortensen;Copenhagen;Region Hovedstaden;Denmark
The Cure;Crawley;England;United Kingdom
Claudio Monteverdi;Cremona;Lombardy;Italy
North Texas Wind Symphony;Dallas;Texas;United States
Charles Ives;Danbury;Connecticut;United States
Guided By Voices;Dayton;Ohio;United States
Robert Pollard;Dayton;Ohio;United States
Austin Wintory;Denver;Colorado;United States
Alice Cooper;Detroit;Michigan;United States
Detroit Symphony Orchestra;Detroit;Michigan;United States
Maria Kliegel;Dillenburg;Hesse;Germany
RTÉ National Symphony Orchestra;Dublin;Leinster;Ireland
Bob Dylan;Duluth;Minnesota;United States
Scottish Chamber Orchestra;Edinburgh;Scotland;United Kingdom
Johann Sebastian Bach;Eisenach;Thuringia;Germany
Günter Wand;Wuppertal;North Rhine-Westphalia;Germany
Carl Maria von Weber;Eutin;Schleswig-Holstein;Germany
Arcangelo Corelli;Ferrara;Emilia-Romagna;Italy
Bear McCreary;Fort Lauderdale;Florida;United States
Ferdinand Ries;Frankfurt;Hesse;Germany
Wolfgang Rübsam;Frankfurt;Hesse;Germany
Ike Moriz;Friedberg;Hesse;Germany
Niccolò Paganini;Genoa;Liguria;Italy
Gilbert Rowland;Glasgow;Scotland;United Kingdom
Royal Scottish National Orchestra;Glasgow;Scotland;United Kingdom
Scottish National Orchestra;Glasgow;Scotland;United Kingdom
Lars Danielsson;Gothenburg;Västra Götaland County;Sweden
The Hit Crew;Green Brook Township;New Jersey;United States
Internacionales Conejos;Guatemala City;Guatemala;Guatemala
Pieter Wispelwey;Haarlem;North Holland;Netherlands 
David Grisman;Hackensack;New Jersey;United States
Kix;Hagerstown;Maryland;United States
George Frideric Handel;Halle;Saxony-Anhalt;Germany
Felix Mendelssohn;Hamburg;Hamburg;Germany
Johannes Brahms;Hamburg;Hamburg;Germany
Paul Hindemith;Hanau;Hesse;Germany
Keith Brion;Harrisburg;Pennsylvania;United States
Odyssey;Hartford;Connecticut;United States
Dietrich Buxtehude;Helsingborg;Skåne County;Sweden
Aapo Häkkinen;Helsinki;Uusimaa;Finland
Leif Segerstam;Helsinki;Uusimaa;Finland
Jean Sibelius;Helsinki;Uusimaa;Finland
Eiji Oue;Hiroshima;Hiroshima;Japan
Yo La Tengo;Hoboken;New Jersey;United States
Erik Satie;Honfleur;Normandy;France
Gustav Mahler;Jihlava;Vysočina;Czech Republic
Ludger Remy;Kalkar;North Rhine-Westphalia;Germany
Béla Drahos;Kaposvár;Somogy;Hungary
Johnny Cash;Kingsland;Arkansas;United States
Robert Craft;Kingston;New York;United States
Andrew Penny;Kingston upon Hull;England;United Kingdom
Udo Jürgens;Klagenfurt;Carinthia;Austria
Kosice;Košice;Košice;Slovakia
Antoni Wit;Kraków;Lesser Poland;Poland
Albert Dohmen;Krefeld;North Rhine-Westphalia;Germany
Theodore Kuchar;Kyiv;Kyiv;Ukraine
Ukraine National Symphony Orchestra;Kyiv;Kyiv;Ukraine
Steve Roach;La Mesa;California;United States
Joachim Raff;Lachen;Schwyz;Switzerland
Jean-Efflam Bavouzet;Lannion;Brittany;France
Leonard Bernstein;Lawrence;Kansas;United States
Richard Wagner;Leipzig;Saxony;Germany
Anton Bruckner;Linz;Upper Austria;Austria
Royal Liverpool Philharmonic Orchestra;Liverpool;England;United Kingdom
Enrique Granados;Lleida;Catalonia;Spain
Arthur Rubinstein;Łódź;Łódź;Poland
Academy of St. Martin in the Fields;London;England;United Kingdom
Adrian Leaper;London;England;United Kingdom
America;London;England;United Kingdom
Andrew Mogrelia;London;England;United Kingdom
Andrew Shore;London;England;United Kingdom
Arnold Bax;London;England;United Kingdom
BBC Philharmonic;London;England;United Kingdom
BBC Symphony Orchestra;London;England;United Kingdom
Bob Shafto;London;England;United Kingdom
Choir of St. Johns College;London;England;United Kingdom
City of London Sinfonia;London;England;United Kingdom
Collegium Musicum 90;London;England;United Kingdom
David Lloyd-Jones;London;England;United Kingdom
English Baroque Soloists;London;England;United Kingdom
English National Opera Orchestra;London;England;United Kingdom
Eurythmics;London;England;United Kingdom
Fleetwood Mac;London;England;United Kingdom
Florilegium;London;England;United Kingdom
Gareth Coker;London;England;United Kingdom
Harry Christophers;London;England;United Kingdom
Havergal Brian;London;England;United Kingdom
Henry Purcell;London;England;United Kingdom
Joanne Lunn;London;England;United Kingdom
John Dowland;London;England;United Kingdom
John Eliot Gardiner;London;England;United Kingdom
John Morgan;London;England;United Kingdom
John Rutter;London;England;United Kingdom
Joseph Payne;London;England;United Kingdom
London Mozart Players;London;England;United Kingdom
London Philharmonic Orchestra;London;England;United Kingdom
London Symphony Chorus;London;England;United Kingdom
London Symphony Orchestra;London;England;United Kingdom
Mark Padmore;London;England;United Kingdom
Matt Johnson;London;England;United Kingdom
Michael Chance;London;England;United Kingdom
Momus;London;England;United Kingdom
Nicholas Ward;London;England;United Kingdom
Philharmonia Orchestra;London;England;United Kingdom
Purcell Quartet;London;England;United Kingdom
Rachel Podger;London;England;United Kingdom
Ralph Vaughan Williams;London;England;United Kingdom
Roderick Williams;London;England;United Kingdom
Roger Whittaker;London;England;United Kingdom
Royal Philharmonic Orchestra;London;England;United Kingdom
Rumon Gamba;London;England;United Kingdom
The Sixteen;London;England;United Kingdom
Whitesnake;London;England;United Kingdom
